id,session_id,client_id,timestamp,type,text,is_transcription,source,created_at
3,e0q6vfjgglx5b7s4rpz7,demo_client,1740786426000,user,Begin the conversation,,,2025-02-28T23:47:06.519032+00:00
4,e0q6vfjgglx5b7s4rpz7,demo_client,1740786431500,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado – the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-02-28T23:47:11.738586+00:00
5,e0q6vfjgglx5b7s4rpz7,demo_client,1740786452832,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-02-28T23:47:33.048513+00:00
6,e0q6vfjgglx5b7s4rpz7,demo_client,1740786481316,assistant,"Great! Let's start by discussing your current marketing platforms. Which ones are you using, and how do you currently handle the data from these systems?",True,audio_transcription,2025-02-28T23:48:01.539732+00:00
7,e0q6vfjgglx5b7s4rpz7,demo_client,1740786496728,user,My name is Kirill.,True,audio_transcription,2025-02-28T23:48:16.967943+00:00
8,e0q6vfjgglx5b7s4rpz7,demo_client,1740786498561,assistant,"Nice to meet you, Kyru! Let's dive deeper into your current marketing setup. Could you share which marketing platforms you're currently utilizing, and how you manage the data from these systems?",True,audio_transcription,2025-02-28T23:48:18.771709+00:00
9,xcv4ntp9ezd5kj6uppzi,demo_client,1740786956481,user,Begin the conversation,,,2025-02-28T23:55:57.013422+00:00
10,xcv4ntp9ezd5kj6uppzi,demo_client,1740786960855,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-02-28T23:56:01.051952+00:00
11,xcv4ntp9ezd5kj6uppzi,demo_client,1740786966736,user,"Hey, hey, hey.",True,audio_transcription,2025-02-28T23:56:06.939939+00:00
12,xcv4ntp9ezd5kj6uppzi,demo_client,1740786967215,user,Ho Ho Ho,True,audio_transcription,2025-02-28T23:56:07.410143+00:00
13,xcv4ntp9ezd5kj6uppzi,demo_client,1740786971661,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-02-28T23:56:11.882867+00:00
14,uw5yv85qfgylrsum4bss,improvado_client,1740787260378,user,Begin the conversation,,,2025-03-01T00:01:00.750168+00:00
15,uw5yv85qfgylrsum4bss,improvado_client,1740787264371,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we",True,audio_transcription,2025-03-01T00:01:04.707032+00:00
16,uw5yv85qfgylrsum4bss,improvado_client,1740787267950,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I",True,audio_transcription,2025-03-01T00:01:08.187561+00:00
17,uw5yv85qfgylrsum4bss,improvado_client,1740787271084,user,Привет!,True,audio_transcription,2025-03-01T00:01:11.326664+00:00
18,uw5yv85qfgylrsum4bss,improvado_client,1740787271657,user,"Привет, что скажешь хорошего?",True,audio_transcription,2025-03-01T00:01:11.897256+00:00
19,uw5yv85qfgylrsum4bss,improvado_client,1740787276396,assistant,"I understand you prefer speaking Russian, but I'll continue in English. Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-03-01T00:01:16.621259+00:00
20,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792566549,user,Begin the conversation,,,2025-03-01T01:29:26.879413+00:00
21,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792568601,user,Hello,True,audio_transcription,2025-03-01T01:29:28.816496+00:00
22,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792572354,assistant,"Hello! I'm AI Agent Improvado, a senior representative of Improvado - the leading marketing data integration platform. Thank you for taking the time to speak with me today. Our goal is to better understand your current marketing data processes and discuss how we can help optimize them. Would you mind if I ask you a few questions about your current situation?",True,audio_transcription,2025-03-01T01:29:32.611691+00:00
23,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792599596,user,"So, I have my data.",True,audio_transcription,2025-03-01T01:29:59.813199+00:00
24,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792601679,user,marketing data living across.,True,audio_transcription,2025-03-01T01:30:01.999658+00:00
25,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792603022,user,Uh...,True,audio_transcription,2025-03-01T01:30:03.25119+00:00
26,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792603649,assistant,It sounds like your marketing data is spread across various platforms. I'd love to learn more. Which marketing platforms,True,audio_transcription,2025-03-01T01:30:03.882282+00:00
27,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792604473,assistant,It sounds like your,True,audio_transcription,2025-03-01T01:30:04.7099+00:00
28,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792607096,user,Facebook and Google.,True,audio_transcription,2025-03-01T01:30:07.32317+00:00
29,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792610353,user,"And I want to have a chart on my Google, like.",True,audio_transcription,2025-03-01T01:30:10.577082+00:00
30,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792612648,user,Looker dashboards.,True,audio_transcription,2025-03-01T01:30:12.866642+00:00
31,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792614116,user,and I have,True,audio_transcription,2025-03-01T01:30:14.352332+00:00
32,y6jcwzx9qrj24q6kr5u6,improvado_client,1740792619218,user,"Snowflake, I use Snowflake as my primary data warehouse.",True,audio_transcription,2025-03-01T01:30:19.453022+00:00
